Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,Position,Deleted,season,race,session_type,lap_time_seconds,sector1_seconds,sector2_seconds,sector3_seconds
VER,Red Bull Racing,1.0,0 days 00:01:35.505000,,0 days 00:00:29.707000,0 days 00:00:29.830000,MEDIUM,1.0,1.0,,,1,1.0,False,2024,Saudi Arabia,R,95.505,,29.707,29.83
VER,Red Bull Racing,2.0,0 days 00:01:34.205000,0 days 00:00:34.720000,0 days 00:00:29.628000,0 days 00:00:29.857000,MEDIUM,2.0,1.0,,,1,1.0,False,2024,Saudi Arabia,R,94.205,34.72,29.628,29.857
VER,Red Bull Racing,3.0,0 days 00:01:34.043000,0 days 00:00:34.530000,0 days 00:00:29.621000,0 days 00:00:29.892000,MEDIUM,3.0,1.0,,,1,1.0,False,2024,Saudi Arabia,R,94.043,34.53,29.621,29.892
VER,Red Bull Racing,4.0,0 days 00:01:33.754000,0 days 00:00:34.416000,0 days 00:00:29.541000,0 days 00:00:29.797000,MEDIUM,4.0,1.0,,,1,1.0,False,2024,Saudi Arabia,R,93.754,34.416,29.541,29.797
VER,Red Bull Racing,5.0,0 days 00:01:33.955000,0 days 00:00:34.457000,0 days 00:00:29.590000,0 days 00:00:29.908000,MEDIUM,5.0,1.0,,,1,1.0,False,2024,Saudi Arabia,R,93.955,34.457,29.59,29.908
VER,Red Bull Racing,6.0,0 days 00:01:33.676000,0 days 00:00:34.355000,0 days 00:00:29.545000,0 days 00:00:29.776000,MEDIUM,6.0,1.0,,,1,1.0,False,2024,Saudi Arabia,R,93.676,34.355,29.545,29.776
VER,Red Bull Racing,7.0,0 days 00:02:02.919000,0 days 00:00:34.467000,0 days 00:00:41.316000,0 days 00:00:47.136000,MEDIUM,7.0,1.0,0 days 01:11:11.053000,,124,1.0,False,2024,Saudi Arabia,R,122.919,34.467,41.316,47.136
VER,Red Bull Racing,8.0,,0 days 00:01:13.947000,0 days 00:00:57.475000,0 days 00:00:57.661000,HARD,1.0,2.0,,0 days 01:11:31.721000,4,2.0,False,2024,Saudi Arabia,R,,73.947,57.475,57.661
VER,Red Bull Racing,9.0,,0 days 00:00:56.642000,0 days 00:00:49.042000,0 days 00:00:55.311000,HARD,2.0,2.0,,,41,2.0,False,2024,Saudi Arabia,R,,56.642,49.042,55.311
VER,Red Bull Racing,10.0,0 days 00:01:35.024000,0 days 00:00:35.648000,0 days 00:00:29.514000,0 days 00:00:29.862000,HARD,3.0,2.0,,,1,2.0,False,2024,Saudi Arabia,R,95.024,35.648,29.514,29.862
VER,Red Bull Racing,11.0,0 days 00:01:33.610000,0 days 00:00:34.555000,0 days 00:00:29.427000,0 days 00:00:29.628000,HARD,4.0,2.0,,,1,2.0,False,2024,Saudi Arabia,R,93.61,34.555,29.427,29.628
VER,Red Bull Racing,12.0,0 days 00:01:33.321000,0 days 00:00:34.391000,0 days 00:00:29.239000,0 days 00:00:29.691000,HARD,5.0,2.0,,,1,2.0,False,2024,Saudi Arabia,R,93.321,34.391,29.239,29.691
VER,Red Bull Racing,13.0,0 days 00:01:33.144000,0 days 00:00:34.096000,0 days 00:00:29.411000,0 days 00:00:29.637000,HARD,6.0,2.0,,,1,1.0,False,2024,Saudi Arabia,R,93.144,34.096,29.411,29.637
VER,Red Bull Racing,14.0,0 days 00:01:33.194000,0 days 00:00:34.303000,0 days 00:00:29.274000,0 days 00:00:29.617000,HARD,7.0,2.0,,,1,1.0,False,2024,Saudi Arabia,R,93.194,34.303,29.274,29.617
VER,Red Bull Racing,15.0,0 days 00:01:33.512000,0 days 00:00:34.320000,0 days 00:00:29.438000,0 days 00:00:29.754000,HARD,8.0,2.0,,,1,1.0,False,2024,Saudi Arabia,R,93.512,34.32,29.438,29.754
VER,Red Bull Racing,16.0,0 days 00:01:33.192000,0 days 00:00:34.239000,0 days 00:00:29.383000,0 days 00:00:29.570000,HARD,9.0,2.0,,,1,1.0,False,2024,Saudi Arabia,R,93.192,34.239,29.383,29.57
VER,Red Bull Racing,17.0,0 days 00:01:33.059000,0 days 00:00:34.134000,0 days 00:00:29.333000,0 days 00:00:29.592000,HARD,10.0,2.0,,,1,1.0,False,2024,Saudi Arabia,R,93.059,34.134,29.333,29.592
VER,Red Bull Racing,18.0,0 days 00:01:33.139000,0 days 00:00:34.172000,0 days 00:00:29.330000,0 days 00:00:29.637000,HARD,11.0,2.0,,,1,1.0,False,2024,Saudi Arabia,R,93.139,34.172,29.33,29.637
VER,Red Bull Racing,19.0,0 days 00:01:33.135000,0 days 00:00:34.172000,0 days 00:00:29.375000,0 days 00:00:29.588000,HARD,12.0,2.0,,,1,1.0,False,2024,Saudi Arabia,R,93.135,34.172,29.375,29.588
VER,Red Bull Racing,20.0,0 days 00:01:33.066000,0 days 00:00:34.155000,0 days 00:00:29.384000,0 days 00:00:29.527000,HARD,13.0,2.0,,,1,1.0,False,2024,Saudi Arabia,R,93.066,34.155,29.384,29.527
VER,Red Bull Racing,21.0,0 days 00:01:32.933000,0 days 00:00:34.129000,0 days 00:00:29.281000,0 days 00:00:29.523000,HARD,14.0,2.0,,,1,1.0,False,2024,Saudi Arabia,R,92.933,34.129,29.281,29.523
VER,Red Bull Racing,22.0,0 days 00:01:32.980000,0 days 00:00:34.195000,0 days 00:00:29.241000,0 days 00:00:29.544000,HARD,15.0,2.0,,,1,1.0,False,2024,Saudi Arabia,R,92.98,34.195,29.241,29.544
VER,Red Bull Racing,23.0,0 days 00:01:32.792000,0 days 00:00:34.024000,0 days 00:00:29.214000,0 days 00:00:29.554000,HARD,16.0,2.0,,,1,1.0,False,2024,Saudi Arabia,R,92.792,34.024,29.214,29.554
VER,Red Bull Racing,24.0,0 days 00:01:32.683000,0 days 00:00:33.956000,0 days 00:00:29.191000,0 days 00:00:29.536000,HARD,17.0,2.0,,,1,1.0,False,2024,Saudi Arabia,R,92.683,33.956,29.191,29.536
VER,Red Bull Racing,25.0,0 days 00:01:32.785000,0 days 00:00:34.120000,0 days 00:00:29.170000,0 days 00:00:29.495000,HARD,18.0,2.0,,,1,1.0,False,2024,Saudi Arabia,R,92.785,34.12,29.17,29.495
VER,Red Bull Racing,26.0,0 days 00:01:32.561000,0 days 00:00:33.949000,0 days 00:00:29.144000,0 days 00:00:29.468000,HARD,19.0,2.0,,,1,1.0,False,2024,Saudi Arabia,R,92.561,33.949,29.144,29.468
VER,Red Bull Racing,27.0,0 days 00:01:32.722000,0 days 00:00:34.033000,0 days 00:00:29.197000,0 days 00:00:29.492000,HARD,20.0,2.0,,,1,1.0,False,2024,Saudi Arabia,R,92.722,34.033,29.197,29.492
VER,Red Bull Racing,28.0,0 days 00:01:32.674000,0 days 00:00:33.962000,0 days 00:00:29.194000,0 days 00:00:29.518000,HARD,21.0,2.0,,,1,1.0,False,2024,Saudi Arabia,R,92.674,33.962,29.194,29.518
